Title,Artist,Path,Emotion1,Emotion2,Uri,Energy, Valence,Tempo
Therefore I Am,Billie Eilish,01 Therefore I Am.mp3,Neutral,Surprise,spotify:track:54bFM56PmE4YLRnqpW6Tha,0.34,0.716,94.009
Maniac,Conan Gray,03 Maniac.mp3,Happy,Sad,spotify:track:6KfoDhO4XUWSbnyKjNp9c4,0.639,0.493,108.045
you should see me in a crown,Billie Eilish,04 you should see me in a crown.mp3,Sad,Surprise,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.533,0.323,150.455
Good As Hell,Lizzo,01 Good As Hell.mp3,Anger,Sad,spotify:track:6KgBpzTuTRPebChN0VTyzV,0.919,0.535,95.982
Captain Hook,Megan Thee Stallion,03 Captain Hook.mp3,Sad,Surprise,spotify:track:1E3VQQWFQAPJkXfYHjqWoI,0.633,0.545,163.991
You & Jennifer,bülow,03 You _ Jennifer.mp3,Anger,Happy,spotify:track:5QO79kh1waicV47BqGRL3g,0.826,0.644,118.051
Knife Under My Pillow,Maggie Lindemann,01 Knife Under My Pillow.mp3,Anger,Fear,spotify:track:18IzbU4Iy1ktWsOZOJDiD1,0.876,0.525,149.971
Tell That Devil,Jill Andrews,01 Tell That Devil.mp3,Anger,Surprise,spotify:track:4wU4XL8nX0we6MXgmFAmnh,0.76,0.497,93.992
One Thing Right,Marshmello,01 One Thing Right.mp3,Sad,Fear,spotify:track:4hPpVbbakQNv8YTHYaOJP4,0.623,0.439,88.042
Kings & Queens,Ava Max,02 Kings _ Queens.mp3,Happy,Sad,spotify:track:7a53HqqArd4b9NF4XAmlbI,0.69,0.457,129.857
GTG,Freddie Dredd,01 GTG.mp3,Anger,Sad,spotify:track:46M2hXnaQpueG7vSvgVtVH,0.777,0.974,154.955
Look At Me!,XXXTENTACION,01 Look At Me!.mp3,Happy,Happy,spotify:track:7floNISpH8VF4z4459Qo18,0.726,0.349,139.059
Kismet,XIX,01 Kismet.mp3,Happy,Surprise,spotify:track:24hPnL2Yr82INEk0YUWCJr,0.743,0.849,160.025
stupid horse,100 gecs,05 stupid horse.mp3,Anger,Fear,spotify:track:23Dapn8107GgxvXDIsPwWm,0.902,0.797,168.188
NEVER MET!,CMTEN,01 NEVER MET!.mp3,Happy,Sad,spotify:track:4iMfYGWDKKuP79CAqsKd3n,0.722,0.944,159.992
Where's My Juul??,Full Tac,01 Where_s My Juul__.mp3,Anger,Happy,spotify:track:0rS5bl8WHAiDuiorCulzuV,0.778,0.35,128.063
IPHONE,Rico Nasty,01 IPHONE.mp3,Anger,Sad,spotify:track:2dMvqE5MHPH7Ksd5pQqFmL,0.799,0.39,148.228
claws,Charli XCX,03 claws.mp3,Anger,Sad,spotify:track:7Dexi5Z2IowCkHrnzlWysc,0.771,0.629,135.049
Us,James Bay,05 Us.mp3,Sad,Sad,spotify:track:16XiTUC2rQvb5lmtOm3FYY,0.473,0.341,69.973
"always, i'll care",Jeremy Zucker,"01 always, i_ll care.mp3",Neutral,Sad,spotify:track:0rbKrBvZUYY9GN9l057BuY,0.221,0.677,105.165
Miles,Golden Age,02 Miles.mp3,Happy,Surprise,spotify:track:6uWoFeXern2VieLlx0MlyX,0.651,0.305,81.964
Lonely (with benny blanco),Justin Bieber,01 Lonely (with benny blanco).mp3,Neutral,Fear,spotify:track:4y4spB9m0Q6026KfkAvy9Q,0.239,0.0927,79.859
Stay With Me,Sam Smith,03 Stay With Me.mp3,Neutral,Sad,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,0.42,0.184,84.094
Glitter,Kislaw,01 Glitter.mp3,Happy,Sad,spotify:track:7agWuohVcbOkns4mv39sSR,0.718,0.176,114.954
closure,Aspen Anonda,01 closure.mp3,Happy,N/A,spotify:track:48NwjCnb1cYgVj1QOjrO8f,0.665,0.557,101.97
Pauses in Lines,Bits of Alan,05 Pauses in Lines.mp3,Happy,Fear,spotify:track:1QsL6HwgXDUjmRDLEjw847,0.736,0.78,142.871
A Little Bit Perfect,Selina Hawker,01 A Little Bit Perfect.mp3,Sad,Fear,spotify:track:2SAutWhhMGLWW0GXbNE2a7,0.559,0.309,89.957
Ya no duele,Red California,01 Ya no duele.mp3,Sad,Fear,spotify:track:5yM81SY7f29ftK1LGznCWd,0.473,0.584,89.986
Entangling,Wolves,01 Entangling.mp3,Neutral,Fear,spotify:track:4QC6roqkZX99dZpvY1Eod1,0.123,0.343,101.194
Unexpected,William Nesmith,01 Unexpected.mp3,Sad,N/A,spotify:track:4BWioRq77XJD1Q3xcqtkKj,0.56,0.0467,90.002
Heaven,Pink Sweat$,01 Heaven.mp3,Neutral,Surprise,spotify:track:7zzl5nLmPPkAwk2MRIUpa4,0.389,0.188,121.919
At My Worst,Pink Sweat$,04 At My Worst.mp3,Neutral,Sad,spotify:track:0ri0Han4IRJhzvERHOZTMr,0.415,0.667,91.921
So Tired,Rnla,01 So Tired.mp3,Neutral,Surprise,spotify:track:1CoR5sd11mxaGJk4oeHbTj,0.349,0.234,79.95
Fck Boys,Blxst,02 Fck Boys.mp3,Sad,Surprise,spotify:track:3AO2MYgrCiTorCUura1szR,0.491,0.497,98.368
You know,Ljay Currie,01 You know.mp3,Sad,Surprise,spotify:track:02l4bbGqKdm7TBUExxU8l0,0.495,0.752,144.999
Carry Me Away,John Mayer,01 Carry Me Away.mp3,Happy,Angry,spotify:track:6TL3MOcVW8i1UiJkvhpDbR,0.668,0.659,120.005
Fake,Lauv,01 Fake.mp3,Happy,Sad,spotify:track:4Gt2kh3QbAGU6yquOWn4aW,0.657,0.455,82.96
Paradise,Pink Sweat$,03 Paradise.mp3,Neutral,Fear,spotify:track:3tYaVw85vbfaOftHbHGpwH,0.344,0.912,97.035
Magic In The Hamptons (feat. Lil Yachty),Social House,01 Magic In The Hamptons (feat_ Lil Yachty).mp3,Sad,Fear,spotify:track:2Yer0p7uB2lVBUAtANuuQp,0.479,0.803,96.051
Everybody Talks,Neon Trees,03 Everybody Talks.mp3,Anger,Sad,spotify:track:2iUmqdfGZcHIhS3b9E9EWq,0.924,0.725,154.961
24 / 7 / 365,Surfaces,03 24 _ 7 _ 365.mp3,Happy,Surprise,spotify:track:0ClnfM4PI0wjlCVTJc9lP7,0.65,0.904,141.16
Are You Bored Yet? (feat. Clairo),Wallows,04 Are You Bored Yet_ (feat_ Clairo).mp3,Happy,Sad,spotify:track:57RA3JGafJm5zRtKJiKPIm,0.683,0.64,120.023
Build Me Up Buttercup,Lara Anderson,01 Build Me Up Buttercup.mp3,Neutral,Sad,spotify:track:5bt5mhA34P1Dncbik5EGeJ,0.167,0.469,122.627
Falling In Love,Dennis Kruissen,01 Falling In Love.mp3,Sad,Surprise,spotify:track:4qAEFnCVCqZsIcaOKQwMUj,0.475,0.146,134.495
Kill the Director,The Wombats,02 Kill the Director.mp3,Anger,Surprise,spotify:track:6uhvuMDb93ANzVxNABDgf1,0.858,0.961,161.487
Trust,Brent Faiyaz,03 Trust.mp3,Neutral,Sad,spotify:track:0oufSLnKQDoBFX5mgkDCgR,0.394,0.471,92.011
Nevermind,Dennis Lloyd,01 Nevermind.mp3,Happy,Surprise,spotify:track:63SevszngYpZOwf63o61K4,0.688,0.0793,99.977
When I'm Down,Whethan,01 When I_m Down.mp3,Anger,Angry,spotify:track:556l9P7WVZVyYUBjT1YFTT,0.769,0.491,93.986
you deserve better,sadeyes,01 you deserve better.mp3,Sad,Fear,spotify:track:5MsydV2Ii4A7r85gSgh90x,0.488,0.362,109.9
Welcome Home,PLÜM,01 Welcome Home.mp3,Sad,Fear,spotify:track:4bDbcJrUfGXbgEpzzlGKOw,0.55,0.392,102.03
Speed Dial,NGO,01 Speed Dial.mp3,Anger,Sad,spotify:track:4ugc1YSS1CxXdlObTph3Ga,0.773,0.451,79.522
Torn In Two,Alonso,01 Torn In Two.mp3,Happy,Fear,spotify:track:0z2w1Hfx6FasA9Inbpp7PY,0.68,0.223,101.033
What I Need,ORYL,01 What I Need.mp3,Sad,Fear,spotify:track:5JGMeeK1tfvRoYYPtWvXdB,0.459,0.305,91.981
Right Hand,Svn. The. Singer.,01 Right Hand.mp3,Neutral,Fear,spotify:track:7M0fpODUuwvNWspde2e972,0.385,0.145,97.12
Deep Deep Down,Devin Dygert,01 Deep Deep Down.mp3,Sad,N/A,spotify:track:4rc0Zd9oHPUWZHKxwJlv8P,0.547,0.674,94.965
Ride,Asa Rivera,01 Ride.mp3,Sad,Fear,spotify:track:4ku1cVNeyuDvzpmv90tIok,0.458,0.169,146.624
Witnesses,Verskotzi,01 Witnesses.mp3,Neutral,N/A,spotify:track:6bIDhmTm0nk5K2QBIWIXhM,0.28,0.302,116.236
Love Syndrome,Dana Rexx,01 Love Syndrome.mp3,Sad,Fear,spotify:track:20oQvVa67pBS8a5XEVaQH1,0.594,0.375,133.851
babyboy,Karin Ann,01 babyboy.mp3,Happy,N/A,spotify:track:2uUj5dEGjE4ZQZkrwgnJnd,0.714,0.224,165.97
Until We Leave the Ground,Emmit Fenn,01 Until We Leave the Ground.mp3,Neutral,Angry,spotify:track:2e1AWudpXKLo79h33vj88C,0.338,0.108,120.03
Boys Do Cry,CC Clarke,01 Boys Do Cry.mp3,Sad,Sad,spotify:track:1gK4smjjI1rJWH8KzStaRI,0.556,0.597,98.875
What I Need,ORYL,01 What I Need_1.mp3,Sad,Fear,spotify:track:5JGMeeK1tfvRoYYPtWvXdB,0.459,0.305,91.981
Why,Bazzi,01 Why.mp3,Happy,Happy,spotify:track:7lozLnUfzcgEpMMVQI7yhA,0.67,0.54,113.01
Your Love (9PM),ATB,01 Your Love (9PM).mp3,Anger,Sad,spotify:track:5YaskwnGDZFDRipaqzbwQx,0.784,0.517,125.993
Take Me Dancing,Mauve,01 Take Me Dancing.mp3,Neutral,Fear,spotify:track:7J9SWm2yp6mDmbM4ESRCAQ,0.446,0.107,114.01
Love To Lose,Sandro Cavazza,01 Love To Lose.mp3,Happy,Sad,spotify:track:11lFSEnkj3810ojPLj53RO,0.741,0.71,195.943
Heaven Is A Place On Earth,Nora Van Elken,01 Heaven Is A Place On Earth.mp3,Anger,Sad,spotify:track:4NcW4k39BVv2KzqXzg7gYt,0.845,0.307,122.854
Fast Car,Y.V.E. 48,01 Fast Car.mp3,Sad,Fear,spotify:track:7Md7IzzMCu8IgbZr5AJpoX,0.561,0.147,112.034
